Elements
org.apache.commons.collections4.ArrayStack
Method: subtract; Parameter types : int, int; Cyclomatic Complexity: 1
Method: getShape; Parameter types : ; Cyclomatic Complexity: 1
Method: contains; Parameter types : IndexProducer; Cyclomatic Complexity: 1
Method: contains; Parameter types : BitMapProducer; Cyclomatic Complexity: 1
Method: asIndexArray; Parameter types : ; Cyclomatic Complexity: 1
Method: getMaxInsert; Parameter types : CellProducer; Cyclomatic Complexity: 1
org.apache.commons.collections4.bloomfilter.BitMap
Method: numberOfBitMaps; Parameter types : int; Cyclomatic Complexity: 1
Method: contains; Parameter types : long[], int; Cyclomatic Complexity: 1
Method: set; Parameter types : long[], int; Cyclomatic Complexity: 1
Method: getLongIndex; Parameter types : int; Cyclomatic Complexity: 1
Method: getLongBit; Parameter types : int; Cyclomatic Complexity: 1
Method: mod; Parameter types : long, int; Cyclomatic Complexity: 1
org.apache.commons.collections4.bloomfilter.BitMapProducer
Method: forEachBitMap; Parameter types : LongPredicate; Cyclomatic Complexity: 1
Method: forEachBitMapPair; Parameter types : BitMapProducer, LongBiPredicate; Cyclomatic Complexity: 1
Method: asBitMapArray; Parameter types : ; Cyclomatic Complexity: 1
Method: fromBitMapArray; Parameter types : long; Cyclomatic Complexity: 1
Method: fromIndexProducer; Parameter types : IndexProducer, int; Cyclomatic Complexity: 1
org.apache.commons.collections4.bloomfilter.BloomFilter
Method: copy; Parameter types : ; Cyclomatic Complexity: 1
Method: characteristics; Parameter types : ; Cyclomatic Complexity: 1
Method: getShape; Parameter types : ; Cyclomatic Complexity: 1
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: contains; Parameter types : BloomFilter; Cyclomatic Complexity: 1
Method: contains; Parameter types : Hasher; Cyclomatic Complexity: 1
Method: contains; Parameter types : IndexProducer; Cyclomatic Complexity: 1
Method: contains; Parameter types : BitMapProducer; Cyclomatic Complexity: 1
Method: merge; Parameter types : BloomFilter; Cyclomatic Complexity: 1
Method: merge; Parameter types : Hasher; Cyclomatic Complexity: 1
Method: merge; Parameter types : IndexProducer; Cyclomatic Complexity: 1
Method: merge; Parameter types : BitMapProducer; Cyclomatic Complexity: 1
Method: isFull; Parameter types : ; Cyclomatic Complexity: 1
